Row,Column,Well,Set,Plate,RandN,A630,A663,A750
H,4,H4,3,3A,187,0.061,0.095,0.052
A,5,A5,3,3A,188,0.062,0.12,0.048
B,5,B5,3,3A,189,0.064,0.131,0.043
C,5,C5,3,3A,190,0.059,0.109,0.044
D,5,D5,3,3A,191,0.059,0.117,0.043
E,5,E5,3,3A,192,0.056,0.103,0.043
F,5,F5,3,3A,193,0.074,0.179,0.043
G,5,G5,3,3A,194,0.047,0.066,0.045
H,5,H5,3,3A,195,0.054,0.093,0.046
A,6,A6,3,3A,196,0.056,0.091,0.047
B,6,B6,3,3A,197,0.071,0.146,0.046
C,6,C6,3,3A,198,0.061,0.12,0.043
D,6,D6,3,3A,199,0.058,0.111,0.044
E,6,E6,3,3A,200,0.063,0.126,0.042
F,6,F6,3,3A,201,0.084,0.208,0.042
G,6,G6,3,3A,202,0.061,0.117,0.042
H,6,H6,3,3A,203,0.059,0.096,0.046
A,7,A7,3,3A,204,0.098,0.246,0.046
B,7,B7,3,3A,205,0.09,0.237,0.045
C,7,C7,3,3A,206,0.062,0.131,0.043
D,7,D7,3,3A,207,0.079,0.194,0.043
E,7,E7,3,3A,208,0.06,0.113,0.042
F,7,F7,3,3A,209,0.057,0.111,0.041
G,7,G7,3,3A,210,0.08,0.206,0.042
H,7,H7,3,3A,211,0.079,0.133,0.064
A,8,A8,3,3A,212,0.081,0.198,0.048
B,8,B8,3,3A,213,0.073,0.175,0.043
C,8,C8,3,3A,214,0.056,0.095,0.045
D,8,D8,3,3A,215,0.051,0.084,0.043
E,8,E8,3,3A,216,0.07,0.155,0.044
F,8,F8,3,3A,217,0.064,0.136,0.042
G,8,G8,3,3A,218,0.081,0.221,0.042
H,8,H8,3,3A,219,0.06,0.108,0.045
A,9,A9,3,3A,220,0.06,0.121,0.043
B,9,B9,3,3A,221,0.055,0.101,0.042
C,9,C9,3,3A,222,0.063,0.132,0.041
D,9,D9,3,3A,223,0.057,0.113,0.04
E,9,E9,3,3A,224,0.073,0.18,0.04
F,9,F9,3,3A,225,0.054,0.096,0.043
G,9,G9,3,3A,226,0.061,0.134,0.042
H,9,H9,3,3A,227,0.07,0.156,0.044
A,10,A10,3,3A,228,0.059,0.123,0.043
B,10,B10,3,3A,229,0.055,0.103,0.042
C,10,C10,3,3A,230,0.079,0.195,0.041
D,10,D10,3,3A,231,0.056,0.1,0.043
E,10,E10,3,3A,232,0.066,0.142,0.039
F,10,F10,3,3A,233,0.087,0.214,0.04
G,10,G10,3,3A,234,0.063,0.129,0.043
H,10,H10,3,3A,235,0.12,0.312,0.043
A,11,A11,3,3A,236,0.066,0.142,0.045
B,11,B11,3,3A,237,0.059,0.113,0.044
C,11,C11,3,3A,238,0.053,0.094,0.043
D,11,D11,3,3A,239,0.067,0.145,0.043
E,11,E11,3,3A,240,0.052,0.087,0.042
A,1,A1,3,3B,156,0.044,0.074,0.038
B,1,B1,3,3B,157,0.072,0.183,0.041
C,1,C1,3,3B,158,0.052,0.106,0.038
D,1,D1,3,3B,159,0.055,0.109,0.037
E,1,E1,3,3B,160,0.06,0.136,0.037
F,1,F1,3,3B,161,0.056,0.117,0.038
G,1,G1,3,3B,162,0.046,0.078,0.037
H,1,H1,3,3B,163,0.067,0.158,0.039
A,2,A2,3,3B,164,0.052,0.082,0.046
